District,Murder,"Hurt 
",Assault on Women,"Kidnapping and Abduction 
",Rape,Unlawful Assembly,"Theft 
","Burglary 
","Forgery, Cheating & Fraud ",Offences Relating to Documents & Property Marks ,"Rash Driving on Public way 
",Criminal Trespass 
Railways Katra,0,0,0,0,0,0,0,0,0,0,1,0
Rajouri,13,433,61,42,25,0,76,44,16,17,360,364
Ramban,3,86,28,15,8,0,19,14,5,5,162,54
Reasi,6,10,14,19,11,0,17,27,12,12,123,43
Samba,5,127,14,23,9,0,80,42,22,22,277,66
Shopian,3,105,103,37,3,0,82,35,13,13,28,0
Sopore,5,125,101,51,1,0,141,37,13,14,93,31
Srinagar,13,334,186,47,5,0,262,163,47,48,233,18
Udhampur,11,20,30,24,16,0,90,43,13,13,304,118
Kargil,0,5,2,0,0,0,0,3,3,3,65,0
Leh,0,7,2,0,2,0,2,3,2,2,46,1
Lakshadweep,0,24,3,1,3,9,9,0,3,3,1,7
